player_id,total_playtime_hours,last_login_days_ago,in_app_purchases,churn_status
0c8057ef-37a9-4a24-b07c-75a4b4b8c381,103,41,3,0
cd02ceb9-1ff7-4892-af01-d5757ebf652e,436,14,6,0
73952508-2964-4d54-a537-b16c24b0b2cf,349,53,8,0
ef682802-a1e2-428f-bf13-56ed898efeb3,271,25,5,0
515a3bba-12b4-4e9a-8d76-29bf0268a0b0,107,1,4,1
cd8a0964-3e3e-44dd-8a77-89c6766ba597,72,1,6,0
16232f5d-1995-4df1-83a0-0fb3fec2d6f7,189,4,10,0
a9b34063-cd96-47c6-a8e6-edd51dee2d88,21,0,4,0
281364c3-91dc-46ff-977d-1a6fcd2ea4e8,103,2,4,0
d1d687e4-0b71-4127-81b4-4d2328af5e0f,122,35,3,1
5bd402a3-0a59-4315-9188-5392d3e455c0,467,22,5,1
8f6376c8-2421-4678-bbe2-122773ef21a8,215,41,2,0
d1ad5562-ca52-411c-9cee-a304b01f455b,331,73,8,1
28779487-d73b-4966-aee5-5fe6e9378d88,459,26,6,0
d7c9c42b-725b-4933-830f-3c8f2d0fbb89,88,38,6,0
cef0c308-e24c-4252-97e4-6e6732b90a52,373,42,4,1
96674429-aed1-4bf7-a64a-1ccaec7b4734,100,14,6,1
5e172399-f67c-445e-81d8-0d6892fcfff3,360,8,3,0
56dd8789-dd2c-4296-9fa2-d3b996f9c4c1,152,6,4,1
260ebecb-d692-42c7-99c2-67faf4017c99,131,8,4,1
a06ccfaf-a094-4999-8efe-ac8b6a3cc697,150,9,5,1
2f8543df-6ea2-4da5-b629-8c0540905f90,309,6,2,1
9a0d5fca-f68d-41ca-b973-84489bb417da,258,63,3,1
75cc848c-e8af-4cf7-9126-2dca7fed472b,344,42,7,0
bba65667-1c12-494b-bf52-27a5fbd8657a,492,1,8,1
465f95dd-c5fc-42df-adee-2a25945e1c63,414,9,5,0
2edf07dc-58c8-4a87-81ea-e3d060bc515d,294,0,1,1
a7a3f01e-7a49-401f-aa39-153836d9bb01,386,20,7,0
a35cbfea-7cd8-4411-9784-7f2536ba7f28,192,19,7,0
9a975a9b-db1f-46f4-b8c7-d48705ce535b,444,53,3,0
4c9502f3-9763-4216-befe-f881c5e80dd8,277,11,7,0
70d2db49-148d-45b9-b990-80e6d878bb26,161,50,2,0
d7c20de0-b191-4f24-8855-fbd59169c9bf,460,103,4,1
e7cf20b7-65bd-48f0-9070-afb213f35c4c,314,2,5,1
5c0401eb-850f-4904-bfb1-b29cea660c6c,22,47,6,0
1f6225c3-4ff4-4538-bf5f-0d902605b3e5,253,26,3,1
78e4d813-667d-4fb1-97f6-581ac3916c71,236,19,8,1
9781dbb5-3a07-40e0-84cd-110b49c462b7,345,16,4,0
32bf7411-6244-4b2f-a144-4f43650167d0,49,46,7,0
087e24b2-107d-4c76-8779-6b1bdcf8aed9,475,30,2,1
32b6f54e-8afd-4119-b34e-800a5ac370c5,59,49,5,0
32727415-cb0d-4027-9e77-bc9f53712c17,170,70,7,1
